City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Kulhudhuffushi,MV,2021-06-13 21:30:36,6.6221,73.07,83.07,71,95,18.37
174,Bhakkar,PK,2021-06-13 21:30:21,31.6253,71.0657,86.76,48,0,2.51
175,Kaihua,CN,2021-06-13 21:34:14,23.3687,104.28,66.49,96,99,3.11
176,Manado,ID,2021-06-13 21:34:15,1.487,124.8455,75.97,94,40,1.14
177,Bograd,RU,2021-06-13 21:34:15,54.2344,90.8328,51.55,93,100,7.74
178,San Ramon,US,2021-06-13 21:28:03,37.7799,-121.978,88.23,48,1,5.99
179,Cabedelo,BR,2021-06-13 21:34:16,-6.9811,-34.8339,77.67,84,5,9.8
180,Kayes,ML,2021-06-13 21:34:16,14.0,-11.0,90.88,40,96,8.12
181,Qaanaaq,GL,2021-06-13 21:34:16,77.484,-69.3632,36.66,76,90,1.19
182,Jefferson City,US,2021-06-13 21:29:44,38.5767,-92.1735,92.5,25,1,6.91
183,Baruun-Urt,MN,2021-06-13 21:34:17,46.6806,113.2792,58.37,84,100,15.28
184,Leningradskiy,RU,2021-06-13 21:34:17,69.3833,178.4167,38.12,81,17,12.75
185,Norman Wells,CA,2021-06-13 21:25:06,65.282,-126.8329,53.64,71,75,13.8
186,Port Keats,AU,2021-06-13 21:30:05,-14.25,129.55,67.75,48,76,3.51
187,San Policarpo,PH,2021-06-13 21:34:18,12.1791,125.5072,76.75,85,80,3.42
188,Sioux Lookout,CA,2021-06-13 21:29:47,50.1001,-91.917,73.47,46,75,9.22
189,Chuy,UY,2021-06-13 21:30:37,-33.6971,-53.4616,57.51,83,0,6.22
190,Pyryatyn,UA,2021-06-13 21:34:19,50.2445,32.5107,55.63,96,63,6.67
191,Gizo,SB,2021-06-13 21:34:19,-8.103,156.8419,82.17,77,27,4.23
192,Waipawa,NZ,2021-06-13 21:34:20,-41.4122,175.5153,56.44,84,100,6.24
193,Batemans Bay,AU,2021-06-13 21:30:14,-35.7167,150.1833,52.2,87,99,3.8
194,Bay-Khaak,RU,2021-06-13 21:34:20,51.1667,94.5,43.92,82,9,2.33
195,Codrington,AU,2021-06-13 21:34:21,-38.2667,141.9667,49.55,80,100,6.33
196,Nikolskoye,RU,2021-06-13 21:34:21,59.7035,30.7861,60.69,86,100,6.71
197,Clyde River,CA,2021-06-13 21:34:21,70.4692,-68.5914,32.23,86,90,14.97
198,Kamaishi,JP,2021-06-13 21:32:07,39.2667,141.8833,68.95,84,98,1.41
199,Tazovskiy,RU,2021-06-13 21:25:24,67.4667,78.7,53.55,74,100,7.78
200,Hofn,IS,2021-06-13 21:24:45,64.2539,-15.2082,39.88,80,100,12.5
201,College,US,2021-06-13 21:30:49,64.8569,-147.8028,72.23,55,75,0.0
202,Klyuchi,RU,2021-06-13 21:34:22,52.2667,79.1667,55.96,91,75,6.78
203,Tete,MZ,2021-06-13 21:34:23,-16.1564,33.5867,63.93,59,0,2.21
204,Nosy Varika,MG,2021-06-13 21:34:23,-20.5833,48.5333,67.86,97,100,13.35
205,Malazgirt,TR,2021-06-13 21:34:24,39.1427,42.5401,55.9,61,17,2.64
206,Vestmannaeyjar,IS,2021-06-13 21:31:52,63.4427,-20.2734,44.1,83,100,2.98
207,Havelock,US,2021-06-13 21:32:52,34.8791,-76.9013,80.58,84,75,5.99
208,Tilichiki,RU,2021-06-13 21:34:24,60.4667,166.1,53.67,52,1,10.13
209,Shiyan,CN,2021-06-13 21:29:42,32.6475,110.7781,76.06,96,100,1.32
210,Ponta Do Sol,PT,2021-06-13 21:29:55,32.6667,-17.1,70.72,80,47,4.99
211,Portland,US,2021-06-13 21:32:44,45.5234,-122.6762,67.98,91,90,1.99
212,Bengkulu,ID,2021-06-13 21:34:25,-3.8004,102.2655,75.81,84,81,3.65
213,Saint George,US,2021-06-13 21:22:18,37.1041,-113.5841,104.43,7,1,1.01
214,Green River,US,2021-06-13 21:34:26,41.5286,-109.4662,92.19,6,0,15.46
215,Antofagasta,CL,2021-06-13 21:30:37,-23.65,-70.4,67.21,56,6,4.14
216,Gaziantep,TR,2021-06-13 21:34:27,37.0594,37.3825,69.46,52,0,0.0
217,Bosaso,SO,2021-06-13 21:30:26,11.2842,49.1816,94.46,34,98,23.15
218,Asau,RO,2021-06-13 21:31:29,46.4333,26.4,52.72,87,81,4.21
219,Ubala,CO,2021-06-13 21:34:28,4.7478,-72.5369,81.12,82,14,0.54
220,Vila Franca Do Campo,PT,2021-06-13 21:34:28,37.7167,-25.4333,70.21,90,45,4.38
221,Champerico,GT,2021-06-13 21:34:29,14.3,-91.9167,85.35,72,100,5.53
222,Nanortalik,GL,2021-06-13 21:34:29,60.1432,-45.2371,36.79,88,96,6.89
223,Turbat,PK,2021-06-13 21:34:30,26.0023,63.044,83.97,79,0,6.02
224,Narsaq,GL,2021-06-13 21:34:30,60.9167,-46.05,52.02,75,74,4.79
225,Richards Bay,ZA,2021-06-13 21:24:33,-28.783,32.0377,66.16,51,6,7.07
226,Tonj,SS,2021-06-13 21:34:31,7.2737,28.6822,77.36,71,90,3.56
227,Adolfo Lopez Mateos,MX,2021-06-13 21:30:36,28.4667,-107.3,86.94,12,0,23.2
228,Bantogon,PH,2021-06-13 21:34:31,6.5333,124.0333,77.36,85,100,3.87
229,Saint-Denis,FR,2021-06-13 21:34:32,48.9167,2.3333,69.58,53,0,3.44
230,Sarangani,PH,2021-06-13 21:31:50,5.4033,125.4636,82.29,73,99,2.35
231,Meulaboh,ID,2021-06-13 21:30:43,4.1363,96.1285,76.71,88,95,4.68
232,Guerrero Negro,MX,2021-06-13 21:24:52,27.9769,-114.0611,72.05,62,13,17.52
233,Ribeira Grande,PT,2021-06-13 21:34:33,38.5167,-28.7,70.21,75,18,3.85
234,Lasa,IT,2021-06-13 21:31:01,46.6166,10.7002,73.31,79,2,4.45
