City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
157,Kupang,ID,73.98,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
158,Lima,PE,66.45,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
159,Hithadhoo,MV,82.81,broken clouds,-0.6,73.0833,Scoop Guest House
162,Tevaitoa,PF,79.97,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
163,Korla,CN,67.66,overcast clouds,41.7597,86.1469,Gulisitan Hotel
164,Pindi Gheb,PK,84.09,clear sky,33.2402,72.2661,Mohallah Masjid Ghulam shah
169,Zhangjiakou,CN,65.61,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
174,Khatassy,RU,66.18,overcast clouds,61.9036,129.6383,"Ulitsa Skhpk,, Khatasskiy,, Dom 20076K"
176,Nizza Monferrato,IT,75.49,broken clouds,44.7738,8.3539,Hotel DOC
177,Balykshi,KZ,73.4,clear sky,47.0667,51.8667,Гостиница Golden Rose
178,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
180,Mogadishu,SO,78.22,overcast clouds,2.0371,45.3438,Hotel Juba
181,Sambava,MG,69.51,clear sky,-14.2667,50.1667,Melrose
183,Rach Gia,VN,76.95,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
186,Alyangula,AU,71.47,fog,-13.8483,136.4192,Groote Eylandt Lodge
189,Dawei,MM,75.76,moderate rain,14.0833,98.2,Hotel Dawei
193,Sao Jose Da Coroa Grande,BR,74.5,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
194,Mareeba,AU,77.32,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
197,Namatanai,PG,83.7,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
200,Abeokuta,NG,76.48,broken clouds,7.15,3.35,Continental Suites Lodge
201,Inuvik,CA,74.64,scattered clouds,68.3499,-133.7218,Nova Inn Inuvik
203,Tefe,BR,75.31,overcast clouds,-3.3542,-64.7114,Aracati Hotel
206,Suez,EG,70.99,clear sky,29.9737,32.5263,Green House
208,Hamilton,US,80.04,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
209,Nambutalai,IN,83.48,overcast clouds,9.7167,79.0,Star Lodge
212,Mazamari,PE,70.23,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
213,Castellamonte,IT,72.82,overcast clouds,45.382,7.7121,La Bella Dormiente B&B
215,Port Blair,IN,82.53,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
217,Inhambane,MZ,66.38,clear sky,-23.865,35.3833,Oceano
221,Samarai,PG,80.92,overcast clouds,-10.6167,150.6667,Nuli Sapi
222,Naze,JP,79.77,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
223,Camacari,BR,76.77,overcast clouds,-12.6975,-38.3242,Hotel Cambuci
231,Makakilo City,US,82.72,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
232,Marsh Harbour,BS,82.31,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
234,Teseney,ER,80.06,overcast clouds,15.11,36.6575,Sabrin Hotel
235,Shubarkuduk,KZ,74.3,overcast clouds,49.1447,56.4872,Sirius
236,Garowe,SO,75.78,overcast clouds,8.4054,48.4845,Curubo Hotel
237,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Poutur Pousada
240,Lubao,PH,84.22,overcast clouds,14.9167,120.55,Hacienda Gracia
242,Sorong,ID,78.71,overcast clouds,-0.8833,131.25,waigo splash hotel
243,Cap Malheureux,MU,69.48,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
245,Itacoatiara,BR,75.25,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
247,Gushikawa,JP,82.4,overcast clouds,26.3544,127.8686,Kirari Guest House
254,Gazojak,TM,77.11,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
259,Changping,CN,70.52,overcast clouds,40.2186,116.2197,Huachang Hotel
263,Kyaukse,MM,80.6,broken clouds,21.6,96.1333,Shwe Thit Sar Guesthouse
267,Sumenep,ID,79.02,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
268,Fare,PF,80.38,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
271,Matara,LK,77.77,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
273,Belmonte,BR,72.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
274,Westport,US,78.57,clear sky,41.1415,-73.3579,The Westport Inn
275,Fortuna,US,79.2,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
276,Mapiripan,CO,74.91,moderate rain,2.8892,-72.1256,Monserrate
283,Bambous Virieux,MU,69.22,clear sky,-20.3428,57.7575,Casa Tia Villa
284,Shangrao,CN,81.05,overcast clouds,28.4532,117.9686,Boyue boutique Hotel
285,Motul,MX,79.99,overcast clouds,21.1,-89.2833,Las piedritas local
288,Netrakona,BD,76.89,overcast clouds,24.8833,90.7167,kurpar gas office
