City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Almaznyy,RU,48.0448,40.045,60.94,76,32,1.83,scattered clouds
118,Brigantine,US,39.4101,-74.3646,80.02,54,1,11.5,clear sky
119,Sabzevar,IR,36.2126,57.6819,76.26,17,0,7.96,clear sky
120,Vaini,TO,-21.2,-175.2,78.96,83,75,10.36,broken clouds
121,Maragogi,BR,-9.0122,-35.2225,73.96,91,82,7.0,light rain
122,Hadishahr,AZ,38.8431,45.6635,77.49,52,0,6.06,clear sky
123,Mar Del Plata,AR,-38.0023,-57.5575,48.99,66,23,5.99,few clouds
124,Aabybro,DK,57.1584,9.7367,51.75,82,0,10.36,clear sky
125,Sioux Lookout,CA,50.1001,-91.917,75.88,37,48,3.24,scattered clouds
126,Lebu,CL,-37.6167,-73.65,50.11,70,100,6.82,overcast clouds
127,Arlit,NE,18.7369,7.3853,89.82,12,0,8.57,clear sky
128,Padang,ID,-0.9492,100.3543,73.45,88,88,4.99,light rain
129,Thompson,CA,55.7435,-97.8558,80.98,28,100,9.44,overcast clouds
130,Beyneu,KZ,45.3167,55.2,79.18,14,13,11.65,few clouds
131,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,88,100,9.15,overcast clouds
132,Maneadero,MX,31.7167,-116.5667,84.18,56,100,6.4,overcast clouds
133,Boralday,KZ,43.3578,76.8594,55.26,67,40,4.47,scattered clouds
134,Isangel,VU,-19.55,169.2667,80.71,89,40,6.91,scattered clouds
135,East London,ZA,-33.0153,27.9116,66.11,68,84,13.09,broken clouds
136,Saint-Louis,SN,16.3333,-15.0,80.1,57,98,12.91,overcast clouds
137,La Rioja,ES,42.25,-2.5,62.38,81,100,6.15,overcast clouds
138,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,93,0,2.3,clear sky
139,Aquiraz,BR,-3.9014,-38.3911,81.18,82,51,6.78,broken clouds
140,Bengkulu,ID,-3.8004,102.2655,75.58,90,97,4.16,overcast clouds
141,Sola,VU,-13.8833,167.55,80.83,79,40,10.42,scattered clouds
142,Codrington,AU,-38.2667,141.9667,51.31,93,100,10.87,overcast clouds
143,Kruisfontein,ZA,-34.0033,24.7314,60.89,79,94,7.02,overcast clouds
144,Pocri,PA,8.2667,-80.55,78.62,80,99,3.2,overcast clouds
145,Vao,NC,-22.6667,167.4833,72.72,79,96,7.4,overcast clouds
146,Salalah,OM,17.0151,54.0924,84.29,84,7,6.91,clear sky
147,Male,MV,4.1748,73.5089,83.26,69,100,15.48,overcast clouds
148,Suntar,RU,62.1444,117.6319,62.56,63,64,3.49,broken clouds
149,Quatre Cocos,MU,-20.2078,57.7625,69.1,84,2,7.02,clear sky
150,Fujin,CN,47.26,132.0322,66.72,76,99,9.89,overcast clouds
151,Port-Gentil,GA,-0.7193,8.7815,78.24,80,43,11.12,scattered clouds
152,Hami,CN,42.8,93.45,67.69,24,0,9.71,clear sky
153,Atar,MR,20.5169,-13.0499,96.33,14,61,2.42,broken clouds
154,Saint Anthony,US,45.0205,-93.218,82.85,41,20,3.0,few clouds
155,Fort Smith,US,35.3859,-94.3986,96.39,42,1,4.61,clear sky
156,Avarua,CK,-21.2078,-159.775,78.85,73,20,21.85,light rain
157,Kupang,ID,-10.1667,123.5833,73.98,88,20,6.91,few clouds
158,Lima,PE,-12.0432,-77.0282,66.45,64,40,10.36,scattered clouds
159,Hithadhoo,MV,-0.6,73.0833,82.81,73,65,6.69,broken clouds
160,Knysna,ZA,-34.0363,23.0471,58.08,76,4,2.77,clear sky
161,Paamiut,GL,61.994,-49.6678,36.75,85,99,15.3,overcast clouds
162,Tevaitoa,PF,-16.7833,-151.5,79.97,78,22,20.45,light rain
163,Korla,CN,41.7597,86.1469,67.66,22,99,12.64,overcast clouds
164,Pindi Gheb,PK,33.2402,72.2661,84.09,41,0,6.69,clear sky
